,author,content,description,publishedAt,source,title,url,urlToImage
10,Martin Baccardax,International Business Machines ( IBM ) shares slumped to the lowest level in nine years Monday after the group said it would pay the equivalent of nearly a third of its market value for Red Hat ( RHT ) in a $34 billion deal that both jump starts its move int… [+4210 chars],TheStreet.com IBM Slides to 9-Year Low After $34 Billion Red Hat Deal; Moody's Warns on Rating TheStreet.com International Business Machines (IBM - Get Report) shares slumped to the lowest level in nine years Monday after the group said it would pay the equiv…,2018-10-29T11:52:00Z,"{'id': None, 'name': 'Thestreet.com'}",IBM Slides to 9-Year Low After $34 Billion Red Hat Deal; Moody's Warns on Rating - TheStreet.com,https://www.thestreet.com/investing/stocks/ibm-shares-slide-to-nine-year-low-after-34-billion-red-hat-cloud-deal-14760038,http://s.thestreet.com/files/tsc/v2008/photos/contrib/uploads/a6da106c-a719-11e8-992b-475a9963146a.jpg
11,Jason Deans and agency,"Shares in carmakers were boosted on Monday by a report that China is considering cutting vehicle sales tax to boost demand, helping European stock markets rebound after last weeks mauling. Financial stocks also contributed to the rally, thanks to strong resul… [+3507 chars]","Financial stocks also boosted by HSBC results as FTSE 100 enjoys best day for weeks Shares in carmakers were boosted on Monday by a report that China is considering cutting vehicle sales tax to boost demand, helping European stock markets rebound after last w…",2018-10-29T20:01:48Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Car industry shares rally after reports of China vehicle tax cut,https://www.theguardian.com/business/2018/oct/29/car-industry-shares-rally-after-reports-of-china-vehicle-tax-cut,https://i.guim.co.uk/img/media/c5ffeb5e6d34db13d904896bf80ba2496b54aa3c/478_0_3522_2114/master/3522.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=362db06b004c8234c57688b03aa21469
12,Barbara Kollmeyer,"The U.K.s main stock index was off to a strong start to the week thanks to solid gains for heavyweight HSBC Holdings PLC HSBA, +3.95% after the banking giant posted forecast-beating results. Meanwhile, investors were looking ahead to the U.K. budget, due to b… [+2012 chars]","London’s main stock market index was off to a solid start, boosted by heavily-weighted HSBC, whose shares were climbing on a profit beat.",2018-10-29T08:19:09Z,"{'id': None, 'name': 'Marketwatch.com'}","London Markets: FTSE 100 climbs as HSBC beats profit, shares soar",https://www.marketwatch.com/story/ftse-100-climbs-as-hsbc-beats-profit-shares-soar-2018-10-29,http://s.marketwatch.com/public/resources/MWimages/MW-GI550_hsbc_ZG_20180504060512.jpg
13,,"Banking giant HSBC said on Monday that pre-tax profit rose 28 percent to $5.92 billion in the third quarter, boosted by ""strong revenue growth"" in its main global businesses. Adjusted pre-tax profit rose 16 percent year-on-year to $6.2 billion, reflecting rev… [+1016 chars]","Banking giant HSBC said on Monday that pre-tax profit rose 28 percent to $5.92 billion in the third quarter, boosted by ""strong revenue growth"" in its main global businesses. Adjusted pre-tax profit rose 16 percent year-on-year to $6.2 billion, reflecting rev…",2018-10-29T05:05:01Z,"{'id': None, 'name': 'Yahoo.com'}",HSBC profits up 28% at $5.9 bn in third quarter,https://www.yahoo.com/news/hsbc-profits-28-5-9-bn-third-quarter-045040619.html,https://s.yimg.com/uu/api/res/1.2/ngVQe1UkK.DK_8An.i3KFA--~B/aD02ODI7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_us/News/afp.com/b7a15a5920ba5a133cb6be753670536f062f7785.jpg
14,Gina Heeb,"Thomson Reuters Stocks rose Monday as Wall Street shook off fears about rising rates and signs of slowing growth that have weighed on global markets this month. The Dow Jones Industrial Average rose 0.82%, or about 200 points. The Nasdaq Composite jumped 1.2%… [+1707 chars]","Stocks jumped Monday after Wall Street wiped out its 2018 gains last week. The tech-heavy Nasdaq paced led the major averages higher after IBM agreed to pay $34 billion for the cloud-software company Red Hat. Earnings season rolls on, with Facebook and Genera…",2018-10-29T14:06:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",Tech stocks are surging after IBM agrees to pay $34 billion for Red Hat,https://markets.businessinsider.com/news/stocks/stock-market-news-ibm-red-hat-deal-2018-10-1027666347,https://static4.businessinsider.com/image/5a7c9d1e5124c9971e935ca4-800/mom-and-pop-investors-undeterred-by-wild-us-stock-market.jpg
15,Emily Reynolds,"I f you thought you could leave the blue-sky thinking of business-speak in the office, there is bad news. According to a ComRes survey, a quarter of 18- to 24-year-olds want the opportunity to upgrade their partner, with marriages offered on a rolling basis, … [+1926 chars]","A quarter of 18- to 24-year-olds want the opportunity to treat their relationship like a phone contract, a survey says. Perhaps the commoditisation of life is to blame If you thought you could leave the blue-sky thinking of business-speak in the office, there…",2018-10-22T15:50:06Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Want to ‘upgrade’ your partner? Why the modern approach to love is killing it,https://www.theguardian.com/lifeandstyle/shortcuts/2018/oct/22/want-to-upgrade-your-partner-why-the-modern-approach-to-love-is-killing-it,https://i.guim.co.uk/img/media/2fb7ab155cbcd668cbab654458df48e1e46cf120/0_0_5125_3076/master/5125.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=8b7c4a48b4e2479ba69e89559b92be05
16,Madeline Shi,"Melania Edwards is part of HSBC's International Manager program, which trains senior executives for leading international bank by putting them in top roles across different businesses around the globe. Through this program, Edwards gained experience working i… [+330 chars]","Melania Edwards is part of HSBC's International Manager program, which trains senior executives for leading international bank by putting them in top roles across different businesses around the globe. Through this program, Edwards gained experience working i…",2018-10-18T11:00:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}","A day in the life of an HSBC executive who wakes up at 5:30 am to meditate and exercise, always eats green, and manages her work and life in two cities",https://www.businessinsider.com/a-day-in-the-life-of-hsbc-executive-melania-edwards-2018-10,
17,Tom McKay,"The Saudis have admitted Jamal Khashoggi, a Saudi journalist in self-imposed exile and frequent critic of Saudi Arabias heir to the throne Crown Prince Mohammed bin Salman, was killed after entering their consulate in Istanbul on Oct. 2. Theyve insisted Khash… [+5360 chars]","The Saudis have admitted Jamal Khashoggi, a Saudi journalist in self-imposed exile and frequent critic of Saudi Arabia’s heir to the throne Crown Prince Mohammed bin Salman, was killed after entering their consulate in Istanbul on Oct. 2. They’ve insisted Kha…",2018-10-23T02:15:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Report: One of Mohammed bin Salman's Top Advisers Ordered Jamal Khashoggi's Death Via Skype,https://gizmodo.com/report-one-of-mohammed-bin-salmans-top-advisers-ordere-1829925189,"https://i.kinja-img.com/gawker-media/image/upload/s--499E_YLc--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/lfkhaf1jq2mbvwkgji5u.jpg"
18,,Washington (AFP) - US Treasury Secretary Steven Mnuchin will decide on Thursday whether he will attend an investment conference in Riyadh that has been boycotted by global business leaders concerned about the fate of Saudi critic Jamal Khashoggi. Two weeks af… [+1653 chars],US Treasury Secretary Steven Mnuchin will decide on Thursday whether he will attend an investment conference in Riyadh that has been boycotted by global business leaders concerned about the fate of Saudi critic Jamal Khashoggi. Two weeks after The Washington …,2018-10-17T22:22:45Z,"{'id': None, 'name': 'Yahoo.com'}",Mnuchin to decide Thursday if attending Saudi conference,https://www.yahoo.com/news/mnuchin-decide-thursday-attending-saudi-conference-222245778.html,https://s.yimg.com/uu/api/res/1.2/.NM2HGhmKcfUMxr4isFkFQ--~B/aD03NDE7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_us/News/afp.com/c9f06feb5a932fc21525e14e89891abbf5ca1438.jpg
19,Henning Gloystein,SINGAPORE (Reuters) - Oil traders’ worries over record supplies arriving in Asia just as the outlook for its key growth economies weakens have pulled down global crude benchmarks by a quarter since early October. Ship-tracking data shows a record of more than… [+3480 chars],Oil traders' worries over record supplies arriving in Asia just as the outlook for its key growth economies weakens have pulled down global crude benchmarks by a quarter since early October.,2018-11-14T05:08:56Z,"{'id': 'reuters', 'name': 'Reuters'}","Asia's weakening economies, record supply threaten to create oil glut",https://www.reuters.com/article/us-asia-oil-demand-idUSKCN1NJ0CX,https://s3.reutersmedia.net/resources/r/?m=02&d=20181114&t=2&i=1325202326&w=1200&r=LYNXNPEEAD075
20,https://www.facebook.com/bbcnews,Image copyright Getty Images Image caption HSBC has not said how many of its US customers have been affected HSBC has said some of its US customers' bank accounts were hacked in October. The lender said that the perpetrators may have accessed information incl… [+1491 chars],American customers' statement and transaction histories have been exposed.,2018-11-06T18:14:28Z,"{'id': 'bbc-news', 'name': 'BBC News'}",HSBC bank confirms US data breach,https://www.bbc.co.uk/news/technology-46117963,https://ichef.bbci.co.uk/news/1024/branded_news/9B09/production/_104198693_f0160059-8861-4a4d-9e7d-00da1303bc0a.jpg
21,Matthew Beedham,"We spent the entire weekend failing to reach the bottom of our buckets of Halloween candy. Yes, were disappointed with ourselves too. But as its Moonday, weve put that aside and rounded up the best cryptocurrency news from the last few days just for you! Here… [+1864 chars]","We spent the entire weekend failing to reach the bottom of our buckets of Halloween candy. Yes, we’re disappointed with ourselves too. But as it’s Moonday, we’ve put that aside and rounded up the best cryptocurrency news from the last few days just for you! H…",2018-11-05T09:02:43Z,"{'id': 'the-next-web', 'name': 'The Next Web'}",Moonday Mornings: Intel CPU weakness could compromise cryptocurrency private keys,https://thenextweb.com/hardfork/2018/11/05/moonday-mornings-intel-cpu-threat/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2018%2F09%2Fmoonday-morning.png&signature=8995221f69cc8094894cf569c5bba1ef
22,,"Xander Schauffele was rookie of the year in 2016-17 after two titles on his debut year on the PGA Tour Xander Schauffele beat Tony Finau in a play-off to win the WGC-HSBC Champions in Shanghai. Finau, one of the few stars for the United States team at the Ryd… [+280 chars]",Xander Schauffele beats Tony Finau in a play-off to win the WGC-HSBC Champions in Shanghai.,2018-10-28T12:34:47Z,"{'id': 'bbc-news', 'name': 'BBC News'}",WGC-HSBC Champions: Xander Schauffele beats Tony Finau in play-off,https://www.bbc.co.uk/sport/golf/46008960,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/2CB6/production/_104064411_gettyimages-1054581774.jpg
23,Barbara Kollmeyer,"Autos and banks were driving strong gains for Europes main stock gauge on Monday, as a dismal month for equities nears an end. A big bump for heavyweight HSBC Holdings PLC and some relief that Italian debt wasnt downgraded to junk status by a major ratings ag… [+3128 chars]","European stocks were climbing Monday, led by auto stocks and banks, while some relief over Italy escaping a debt downgrade also supported the index.",2018-10-29T10:37:49Z,"{'id': None, 'name': 'Marketwatch.com'}","Europe Markets: Italian stocks lead Europe markets higher; banks, auto shares climb",https://www.marketwatch.com/story/italian-stocks-lead-europe-markets-higher-banks-auto-names-climb-2018-10-29,http://s.marketwatch.com/public/resources/MWimages/MW-GL449_daimle_ZG_20180625032748.jpg
24,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-29T06:42:44Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",HSBC Shows Progress Taming Its Costs,https://www.bloomberg.com/tosv2.html?vid=&uuid=ae0c3010-db49-11e8-8303-2347faf8e9a4&url=L25ld3MvdmlkZW9zLzIwMTgtMTAtMjkvaHNiYy1zaG93cy1wcm9ncmVzcy10YW1pbmctaXRzLWNvc3RzLXZpZGVv,
25,Kalyeena Makortoff Banking correspondent,"Little progress has been made on fixing the UKs poor banking culture, five years on from a major industry inquiry meant to address lender misconduct, the chair of the sectors standards board has admitted. In the Banking Standards Boards first appearance in fr… [+2467 chars]","Banking Standards Board tells MPs care for vulnerable customers continues to fall short Little progress has been made on fixing the UK’s poor banking culture, five years on from a major industry inquiry meant to address lender misconduct, the chair of the sec…",2018-11-13T17:30:29Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}","Overhaul of UK's poor banking culture is slow, admits standards chair",https://www.theguardian.com/business/2018/nov/13/overhaul-of-uk-poor-banking-culture-is-slow-admits-standards-chair,https://i.guim.co.uk/img/media/e73890f1856530fed1281b88864b803bf116c381/0_0_4440_2663/master/4440.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=5b069cff8643a1363e2adb6f6e9bfb99
26,Kalyeena Makortoff Banking correspondent,"Britains leading consumer group has called on banks to justify nearly 13,000 bank branch closures that have left millions of people struggling to access vital financial services across the UK. Figures compiled by the consumer charity Which? show that the UK h… [+3180 chars]","Which? survey finds 19% of population nearly two miles away from nearest bank branch Britain’s leading consumer group has called on banks to justify nearly 13,000 bank branch closures that have left millions of people struggling to access vital financial serv…",2018-11-16T00:01:47Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",UK banks urged to justify 'staggering' level of branch closures,https://www.theguardian.com/business/2018/nov/16/uk-bank-urged-justify-staggering-level-branch-closures-which-survey,https://i.guim.co.uk/img/media/6fc6430a02e370e941261a965a1494d93a23c026/1046_770_1898_1139/master/1898.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=ba424e478f09eac9c249db2548ed7566
27,,"Dubai (AFP) - French Economy Minister Bruno Le Maire on Thursday became the latest in an array of policy-makers and corporate chiefs to pull out of an investment conference in Saudi Arabia next week, following the disappearance of journalist Jamal Khashoggi. … [+2186 chars]","Dubai (AFP) - French Economy Minister Bruno Le Maire on Thursday became the latest in an array of policy-makers and corporate chiefs to pull out of an investment conference in Saudi Arabia next week, following the disappearance of journalist Jamal Khashoggi.",2018-10-18T09:08:47Z,"{'id': None, 'name': 'Yahoo.com'}",Khashoggi fallout: Saudi conference no-shows,https://www.yahoo.com/news/khashoggi-case-no-shows-saudi-investment-conference-110244841.html,https://s.yimg.com/uu/api/res/1.2/bwSxl1fY9_zGz01ZYmn_mg--~B/aD02ODE7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_us/News/afp.com/7527a208f1f3e28522278bfe5e8a4048b1cf5ba8.jpg
28,,"Rory McIlroy faces a long two days in Shanghai in the no-cut event WGC-HSBC Champions second-round leaderboard -11 T Finau (US); -8 P Reed (US), T Fleetwood (Eng), J Rose (Eng); -7 X Schauffele (US); -6 P Cantlay (US). Selected others: -5 T Pieters (Bel); -4 … [+1327 chars]",Rory McIlroy is 16 shots off Tony Finau's lead at the WGC-HSBC Champions in Shanghai - but Justin Rose and Tommy Fleetwood are in contention.,2018-10-26T10:27:07Z,"{'id': 'bbc-news', 'name': 'BBC News'}",WGC-HSBC Champions: Rory McIlroy 16 behind in Shanghai as Tony Finau leads,https://www.bbc.co.uk/sport/golf/45991575,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/0464/production/_104042110_mcilroyrueful.jpg
29,"AP, AP","Xander Schauffele of the United States poses with the trophy near the golf course staff after winning the HSBC Champions golf tournament held at the Sheshan International Golf Club in Shanghai, Sunday, Oct. 28, 2018. (AP Photo/Ng Han Guan) (Photo: The Associa… [+7568 chars]","Golf notes: European Tour schedule has big finish, Jutanugarn LPGA's player of the year, opposite-field events not always good indicator",2018-10-30T20:30:55Z,"{'id': 'usa-today', 'name': 'USA Today'}",European Tour schedule provides for big finish,https://www.usatoday.com/story/sports/golf/2018/10/30/european-tour-schedule-provides-for-big-finish/38334517/?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/238f01ef28334fff09748f8cebea6ef31ed31b07/c=0-242-4646-2855/local/-/media/2018/10/30/USATODAY/usatsports/49257e532321431e90347fc446a804ad.jpg?width=3200&height=1680&fit=crop
30,,"To continue, please click the box below to let us know you're not a robot.",,2018-11-09T00:32:38Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",HSBC Sees Gradual Slowdown in Chinese Luxury Goods Spending,https://www.bloomberg.com/tosv2.html?vid=&uuid=38b939e0-e3bc-11e8-bd21-2d763d11bfc7&url=L25ld3MvdmlkZW9zLzIwMTgtMTEtMDkvaHNiYy1zZWVzLWdyYWR1YWwtc2xvd2Rvd24taW4tY2hpbmVzZS1sdXh1cnktZ29vZHMtc3BlbmRpbmctdmlkZW8=,
31,,"To continue, please click the box below to let us know you're not a robot.",,2018-11-14T11:06:30Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",HSBC Has a Playbook for Traders Hunkering for Growth Slowdown,https://www.bloomberg.com/tosv2.html?vid=&uuid=4f89aa30-e806-11e8-b1b5-6bdb5566430d&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMS0xNC9oc2JjLWhhcy1hLXBsYXlib29rLWZvci10cmFkZXJzLWh1bmtlcmluZy1mb3ItZ3Jvd3RoLXNsb3dkb3du,
32,Xeni Jardin,"In a letter published online today, 56 of America's largest corporations tell Donald Trump not roll back legal protections for transgender people, as he is threatening to do with the midterm U.S. elections one week away. What he appears to be trying to do, of… [+3778 chars]","In a letter published online today, 56 of America's largest corporations tell Donald Trump not roll back legal protections for transgender people, as he is threatening to do with the midterm U.S. elections one week away. What he appears to be trying to do, of…",2018-11-02T01:32:39Z,"{'id': None, 'name': 'Boingboing.net'}","Apple, Amazon, Facebook, Google, 50+ more firms tell Trump to leave trans people alone",https://boingboing.net/2018/11/01/apple-amazon-facebook-googl.html,https://media.boingboing.net/wp-content/uploads/2018/11/trans.jpg
33,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-18T07:51:59Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",HSBC Gears Up for China Listing Through Shanghai-London Link,https://www.bloomberg.com/tosv2.html?vid=&uuid=b003d420-d2b3-11e8-8d31-8950cf2ab678&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0xOC9oc2JjLWdlYXJzLXVwLWZvci1jaGluYS1saXN0aW5nLXRocm91Z2gtc2hhbmdoYWktbG9uZG9uLWxpbms=,
34,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-30T12:04:13Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Standard Life Appoints Former HSBC Leader Flint as Chairman,https://www.bloomberg.com/tosv2.html?vid=&uuid=97011a90-dc4b-11e8-bebd-29fd8f1b2df0&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0zMC9zdGFuZGFyZC1saWZlLWFwcG9pbnRzLWZvcm1lci1oc2JjLWxlYWRlci1mbGludC1hcy1jaGFpcm1hbg==,
35,Barbara Kollmeyer,"Europes main stock gauge was under pressure on Tuesday as investors battled political worries across three regions, with the outcome of U.S. midterm elections front and center for investors. What are markets doing? The Stoxx Europe 600 SXXP, -0.21% fell 0.1% … [+2968 chars]","European stocks were struggling for headway on Tuesday, as investors waited for results of U.S. midterm elections and weighed up political risk in the U.K. and Europe.",2018-11-06T15:17:59Z,"{'id': None, 'name': 'Marketwatch.com'}",Europe Markets: Europe stocks struggle for ground amid global political worries,https://www.marketwatch.com/story/europe-stocks-struggle-for-ground-amid-global-political-worries-2018-11-06,http://s.marketwatch.com/public/resources/MWimages/MW-FE839_dollar_ZG_20170131143102.jpg
36,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-29T05:37:09Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Fitch's Bauer Says Costs 'Issue' for HSBC From Ratings Perspective,https://www.bloomberg.com/tosv2.html?vid=&uuid=4aa2caa0-db41-11e8-a476-25d7cc5ad647&url=L25ld3MvdmlkZW9zLzIwMTgtMTAtMjkvZml0Y2gtcy1iYXVlci1zYXlzLWNvc3RzLWlzc3VlLWZvci1oc2JjLWZyb20tcmF0aW5ncy1wZXJzcGVjdGl2ZS12aWRlbw==,
