,author,content,description,publishedAt,source,title,url,urlToImage,count
11,https://www.facebook.com/bbcnews,"Image copyright Getty Images Image caption Beidou's coverage is expanding rapidly, with more than 10 satellite launches in 2018 China has ambitions for its rapidly expanding Beidou satellite navigation system to serve the whole world, not just Asia, but will … [+6289 chars]","China's Beidou is being used in everything from ploughing to precision missiles, but can it go global?",2018-10-21 08:12:17,"{'id': None, 'name': 'Bbc.com'}",China's GPS 'rival' Beidou,https://www.bbc.com/news/technology-45471959,https://ichef.bbci.co.uk/news/1024/branded_news/A0B0/production/_103363114_gettyimages-1025413808.jpg,1
12,"Robert Olsen, Forbes Staff, Robert Olsen, Forbes Staff https://www.forbes.com/sites/robertolsen/","Share to facebook Share to twitter Share to linkedin Walter Kwok, chairman and CEO of Sun Hung Kai Properties, speaks to the media in Hong Kong in 2007. (Photo: David Paul Morris/Bloomberg News) Walter Kwok, the former chairman of Sun Hung Kai Properties, die… [+4929 chars]","The former chairman of Sun Hung Kai Properties died on Saturday morning. Walter’s fortune had been estimated to be worth $6.9 billion, ranking him the 12 wealthiest person in Hong Kong.",2018-10-21 08:15:00,"{'id': None, 'name': 'Forbes.com'}",Hong Kong Billionaire Walter Kwok Dies At Age 68,https://www.forbes.com/sites/robertolsen/2018/10/21/hong-kong-billionaire-walter-kwok-dies-at-age-68/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Frobertolsen%2Ffiles%2F2018%2F10%2FWalter_Kwok-1200x801.jpg,1
13,newsfeedback@fool.com (Rich Duprey),"A ban by Hong Kong on electronic cigarettes shouldn't be a big deal for tobacco companies. Hong Kong's market isn't particularly large, and the population has one of the lowest incidences of smoking anywhere in the world. Nevertheless, the action is predicate… [+3571 chars]",It could cause other governments to follow suit.,2018-10-21 17:25:00,"{'id': None, 'name': 'Fool.com'}",Big Tobacco Might Get Burned by Hong Kong's E-Cig Ban,https://www.fool.com/investing/2018/10/21/big-tobacco-burned-by-hong-kong-e-cig-ban.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F496826%2Fe-cig-vaping-teen-getty.jpeg&h=630&w=1200&op=resize,1
15,"info@hypebeast.com (HYPEBEAST), HYPEBEAST","Phillips is set to launch its Evening Sale of 20th Century &amp; Contemporary Art in November. Ahead of the auction, the art platform gives us an exclusive look at two highly-sought KAWS pieces that will be included. The highlight goes to the Brooklyn-based a… [+926 chars]","Phillips is set to launch its Evening Sale of 20th Century & Contemporary Art in November. Ahead of the auction, the art platform gives us an exclusive look at two highly-sought KAWS pieces that will be included. The highlight goes to the Brooklyn-based artis…",2018-10-21 20:46:50,"{'id': None, 'name': 'Hypebeast.com'}",KAWS' Colossal 'CLEAN SLATE' Companion Spotlighted in Upcoming Phillips Auction,https://hypebeast.com/2018/10/kaws-clean-slate-companion-sculpture-phillips-auction,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F10%2Fkaws-clean-slate-companion-sculpture-phillips-auction-tw.jpg?w=960&cbr=1&q=90&fit=max,1
16,Tom McKay,"Lu Wei, the former chief of the imposing Cyberspace Administration of China (CAC) and one of the primary architects of the mass censorship foisted on Chinas estimated 700 million internet users, pleaded guilty this week in Chinese court to taking some 32 mill… [+5132 chars]","Lu Wei, the former chief of the imposing Cyberspace Administration of China (CAC) and one of the primary architects of the mass censorship foisted on China’s estimated 700 million internet users, pleaded guilty this week in Chinese court to taking some 32 mil…",2018-10-21 21:35:00,"{'id': None, 'name': 'Gizmodo.com'}","China's Former Internet Chief, a Censorship Hardliner, Pleads Guilty to Corruption Charges",https://gizmodo.com/chinas-former-internet-chief-a-censorship-hardliner-p-1829897153,"https://i.kinja-img.com/gawker-media/image/upload/s--7iSf8qNH--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/vx6buzv4hn8pltlvlt6s.jpg",1
17,lucky,"Last week I shared the details of four upcoming review trips I have planned, where I should be reviewing some pretty fun products, ranging from the new longest flight in the world, to Kenya Airways’ new route between New York and Nairobi, to RwandAir’s A330 b… [+3684 chars]","Last week I shared the details of four upcoming review trips I have planned, where I should be reviewing some pretty fun products, ranging from the new longest flight in the world, to Kenya Airways' new route between New York and Nairobi, to RwandAir's A330 b…",2018-10-21 21:52:38,"{'id': None, 'name': 'Onemileatatime.com'}","Plotting A Review Trip: Qantas 787, Singapore 787, Malaysia A350, And More!",https://onemileatatime.com/review-trip-qantas/,https://onemileatatime.com/wp-content/uploads/2018/07/Qantas-787-Dreamliner-og-image.png,1
18,https://www.facebook.com/bbcnews,"It's Monday, it's a new week, and while we won't pretend to know everything that's going to happen over the next seven days, we have some sense of what's coming up. Here's your briefing on some of the most important and interesting stories happening in the we… [+3872 chars]",Your Monday briefing on the most important stories coming up over the next seven days.,2018-10-22 01:12:03,"{'id': 'bbc-news', 'name': 'BBC News'}",Five things to know for the week ahead,https://www.bbc.co.uk/news/world-45900208,https://ichef.bbci.co.uk/news/1024/branded_news/16F8C/production/_103929049_mediaitem103929048.jpg,1
19,Bloomberg,"China’s burst of local bond issuance to pay for infrastructure and support the flagging economy is being hampered by a lack of available projects and the negative effect it’s having on private sector funding. Earlier this year, central government attempted to… [+4408 chars]",The economic boost of the debt creation will be less than if it was used to build highways or redevelop sub-standard housing.,2018-10-22 03:05:59,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",China's $195 bn debt splurge has less bang than you think,https://economictimes.indiatimes.com/news/international/business/chinas-195-billion-debt-splurge-has-less-bang-than-you-think/articleshow/66310447.cms,"https://img.etimg.com/thumb/msid-66310436,width-1070,height-580,imgsize-85894,overlay-economictimes/photo.jpg",1
20,"Ian Sample, Science editor","What is the internet? The internet is the wider network that allows computer networks around the world run by companies, governments, universities and other organisations to talk to one another. The result is a mass of cables, computers, data centres, routers… [+9977 chars]","Thousands of miles of cables connected to data centres underpin our way of life. How many people are online, what are they doing there – and what comes next? The internet is the wider network that allows computer networks around the world run by companies, go…",2018-10-22 05:00:22,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",What is the internet? 13 key questions answered,https://www.theguardian.com/technology/2018/oct/22/what-is-the-internet-13-key-questions-answered,https://i.guim.co.uk/img/media/62723e157f00d8ff45824f5de70bd295bbb1ad79/4_0_5839_3504/master/5839.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=d1770901425ec87f0cae9739dd5f0a5c,1
21,Lily Kuo in Beijing,"The worlds longest sea bridge is set to open this week, linking the cities of Hong Kong and Macau to the Chinese mainland as part of a broader contentious plan to integrate the special administrative regions into China. The $20bn Hong Kong-Zhuhai-Macau bridge… [+3566 chars]","Chinese project is one of the most criticised initiatives in Hong Kong, where the bridge is seen as another way for Beijing to extend its control The world’s longest sea bridge is set to open this week, linking the cities of Hong Kong and Macau to the Chinese…",2018-10-22 05:46:08,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",World's longest sea bridge to open... but only to drivers with a special permit,https://www.theguardian.com/world/2018/oct/22/longest-sea-bridge-to-open-china-hong-kong-zhuhai-macau-permit,https://i.guim.co.uk/img/media/64678286684956df3874109c73dc63417d8d6b4b/0_48_3500_2101/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=8f633d9c9f8d03e9fcc64cceb556a1b9,1
22,"info@hypebeast.com (HYPEBEAST), HYPEBEAST","To celebrate its 7th anniversary, international art organization APPortfolio has linked up with legendary street artist Ron English, Shanghai-based retailer FLOE, and Hong Kong toy designers Made By Monsters for a special “Shocking Sun Flower” collection. Mar… [+814 chars]","To celebrate its 7th anniversary, international art organization APPortfolio has linked up with legendary street artist Ron English, Shanghai-based retailer FLOE, and Hong Kong toy designers Made By Monsters for a special ""Shocking Sun Flower"" collection. Mar…",2018-10-22 07:08:02,"{'id': None, 'name': 'Hypebeast.com'}","Ron English, FLOE, APPortfolio & Made by Monsters Team up on Limited ""Shocking Sun Flower"" Collection",https://hypebeast.com/2018/10/ron-english-made-by-monsters-floe-apportfolio-shocking-sun-flower-collection,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F10%2Ftw-ron-english-made-by-monsters-floe-apportfolio-shocking-sun-flower-collection.jpg?w=960&cbr=1&q=90&fit=max,1
23,"Oliver Smith, Forbes Staff, Oliver Smith, Forbes Staff https://www.forbes.com/sites/oliversmith/","A glimpse inside one of Vo1t's locations. Vo1t. Crypto thieves stole $1.1 billion in the first half of 2018, with growing numbers of kidnappings, armed robberies and blackmail attempts. In response Miles Parry started Vo1t in 2016, a secret global network of … [+18245 chars]","A vulnerability at the heart of bitcoin has triggered an arms race of crypto security. Forbes visited Vo1t, a network of underground bunkers where FTSE 250 companies are keeping their crypto assets safe.",2018-10-22 09:00:00,"{'id': None, 'name': 'Forbes.com'}",Vo1t: Inside The Secret Bunker Where Billions In Crypto Is Stored,https://www.forbes.com/sites/oliversmith/2018/10/22/vo1t-inside-the-secret-bunker-where-billions-in-crypto-is-stored/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5bc869a64bbe6f62484c4baa%2F960x0.jpg,1
24,QUINN SLOBODIAN,Free market capitalism is not rejected but anchored more deeply in conservative family structures and in a group identity defined against an Islamic threat from the East. Several of the Alternative for Germanys leaders are also members in a society named afte… [+2981 chars],"President Trump with Robert Lighthizer, the United States trade representative, at the White House in October.",2018-10-22 09:45:04,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Populists Are Globalists, Too",https://www.nytimes.com/2018/10/22/opinion/trump-far-right-populists-globalization.html,https://static01.nyt.com/images/2018/10/22/opinion/22slobodianWeb/22slobodianWeb-facebookJumbo.jpg,1
25,Tim Walker,"Good morning, Im Tim Walker with todays headlines. If youd like to receive this briefing by email, sign up here. Sign up for the US morning briefing Top story: UK, France and Germany ask Saudis for more detail The governments of the UK, France and Germany are… [+6301 chars]","Kavanaugh lobbied for judge handling his ethics complaints... Anti-Muslim rhetoric ‘widespread’ ahead of midterms... Guardian launches ‘Atlanta Week’ Good morning, I’m Tim Walker with today’s headlines. If you’d like to receive this briefing by email, sign up…",2018-10-22 10:05:43,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Monday US briefing: Europeans demand details of Khashoggi death,https://www.theguardian.com/us-news/2018/oct/22/monday-us-briefing-europeans-demand-details-of-khashoggi-death,https://i.guim.co.uk/img/media/336dcfbb7cadd6217147f7d34b9aef27fd1487d9/0_57_1382_829/master/1382.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=e6ce62c12f4e540457d8509e4bbc5d27,1
26,Isabella Steger,"The modern state of Japan came into being on Oct. 23, 1868, when the Edo era ended and the Meiji emperor ascended to the throne. The Meiji Restoration, as the event came to be known, marked the start of Japans ambitious rise to a global power that, for the fi… [+9847 chars]",The Meiji Restoration marked the start of Japan's rise to a global power that for the first time would see an Asian country shoulder-to-shoulder with European powers.,2018-10-22 11:00:32,"{'id': None, 'name': 'Qz.com'}",The complicated legacy of modern Japan as it celebrates its 150th birthday,https://qz.com/1423834/modern-japan-is-turning-150-heres-what-you-need-to-know/,https://cms.qz.com/wp-content/uploads/2018/10/RTSNAHA-e1539851210489.jpg?quality=75&strip=all&w=1400,1
27,"Jill Baker, Contributor, Jill Baker, Contributor https://www.forbes.com/sites/jillbaker/","Share to facebook Share to twitter Share to linkedin Jaime Augusto Zobel de Ayala, chairman and CEO of Ayala Corp., speaks during the Belt and Road Summit in Hong Kong on Sept. 11, 2017. (Photo: Vivek Prakash/Bloomberg) AC Energy, a subsidiary of Philippine c… [+8556 chars]","AC Energy is expanding beyond the Philippines, and has identified Indonesia and Vietnam as key target markets, and expansion plans will complement existing renewables projects in the Philippines.",2018-10-22 11:10:00,"{'id': None, 'name': 'Forbes.com'}",Philippines' Ayala Corp. Pivots To Renewables With Vietnam Solar Investment,https://www.forbes.com/sites/jillbaker/2018/10/22/philippines-ayala-corp-pivots-to-renewables-with-vietnam-solar-investment/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Fjillbaker%2Ffiles%2F2018%2F10%2FAyala-1200x747.jpg,1
28,"Gerry Shih, The Washington Post","Chinese President Xi Jinping at the opening day of the Eastern Economic Forum in Vladivostok, Russia, on Sept. 11, 2018. Chinese President Xi Jinping at the opening day of the Eastern Economic Forum in Vladivostok, Russia, on Sept. 11, 2018. Photo: Bloombrg P… [+6179 chars]","HONG KONG - It's been another busy month for China's anti-corruption authorities.
There was the head of Interpol, who was unceremoniously seized during a trip to Beijing. There was the state bank executive who was caught hiding tons - literally - of ill-gotte…",2018-10-22 12:10:40,"{'id': None, 'name': 'Sfgate.com'}","In China, investigations and purges new normal...",https://www.sfgate.com/news/article/In-China-investigations-and-purges-become-the-13325751.php,https://s.hdnux.com/photos/76/35/31/16373315/3/rawImage.jpg,1
29,"Andrew Rossow, Contributor, Andrew Rossow, Contributor https://www.forbes.com/sites/andrewrossow/","Share to facebook Share to twitter Share to linkedin Photo Credit: Getty/Royalty-Free I dont want to take an ambulance, because it's too expensive. In times of medical emergency, an ambulance ride of just a few miles can cost thousands of dollars, and a lot o… [+14112 chars]","Today, our medical information is being electronically uploaded, transmitted, and digitized. In order to comply with HIPAA requirements and other security concerns, blockchain technology can help keep the health-care industry's vitals, stable.",2018-10-22 13:48:00,"{'id': None, 'name': 'Forbes.com'}",Should Healthcare Shift Towards A Blockchain-Based Efficiency Model?,https://www.forbes.com/sites/andrewrossow/2018/10/22/should-healthcare-shift-towards-a-blockchain-based-efficiency-model/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Fandrewrossow%2Ffiles%2F2018%2F10%2Fglowing-2245832_1920-e1540215637808-500x500.jpg,1
30,,"Eye of the Needle The 2018 NYFF Projections series included six features, four featurettes, and 22 short films. That’s a grand total of 1,051 minutes of programming, or just over 17 and ½ hours of experimental cinema. Obviously, in that amount of time, one co… [+11168 chars]","Several films presented at the festival’s Projections sidebar engaged with questions of archives, cataloging and digital technologies.",2018-10-22 13:53:00,"{'id': None, 'name': 'Mubi.com'}",Beer Nuts in the Rockpile: NYFF Projections and the Archival Impulse,https://mubi.com/notebook/posts/beer-nuts-in-the-rockpile-nyff-projections-and-the-archival-impulse,https://assets.mubi.com/images/notebook/post_spotlight_images/8159/images-w1280.jpg?1540225265,1
31,Pradeep,"Samsung today announced an updated version of its Odyssey Windows Mixed Reality headset. The new Samsung Odyssey+ headset comes with an exclusive Anti-Screen Door Effect (Anti-SDE) Display. In regular VR headset displays, the fine lines separating pixels will… [+1383 chars]","Samsung today announced an updated version of its Odyssey Windows Mixed Reality headset. The new Samsung Odyssey+ headset comes with an exclusive Anti-Screen Door Effect (Anti-SDE) Display. In regular VR headset displays, the fine lines separating pixels will…",2018-10-22 14:15:33,"{'id': None, 'name': 'Mspoweruser.com'}",Samsung announces HMD Odyssey+ Windows Mixed Reality headset with Anti-Screen Door Effect display,https://mspoweruser.com/samsung-announces-hmd-odyssey-windows-mixed-reality-headset-with-anti-screen-door-effect-display/,https://mspoweruser.com/wp-content/uploads/2018/10/Samsung-HMD-Odyssey.jpg,1
32,Kala,"Moscow-based creative director and photographer Ernest Em, also known as 19Tones, is attracted to night photography for its magical atmosphere and unusual colors and what better city is there to capture at night than Hong Kong? His series H-Art delves deep in… [+312 chars]","Moscow-based creative director and photographer Ernest Em, also known as 19Tones, is attracted to night photography for its magical atmosphere and unusual colors … and what better city is there to capture at night than Hong Kong? His series H-Art delves deep …",2018-10-22 15:30:31,"{'id': None, 'name': 'Fubiz.net'}",The Electrifying Neon Landscapes of Hong Kong,http://www.fubiz.net/en/2018/10/22/the-electrifying-neon-landscapes-of-hong-kong-2/,http://www.fubiz.net/wp-content/uploads/2018/10/19tones-hongkong-09-708x456.jpg,1
33,Swapna Krishna,"The device will sport dual 3.5-in AMOLED displays, with a combined resolution of 1440 x 1600 per eye. It supports 360-degree spatial sound that mimics 3D audio and comes with pre-paired 6DOF controllers, which promises quick setup and richer experiences. The … [+618 chars]","It's official: Samsung is updating its mixed-reality headset, the Odyssey. The new version, the Samsung HMD Odyssey+, promises to bring lifelike experiences through the Windows Mixed Reality platform. You can buy the headset in the US starting on October 22nd…",2018-10-22 15:57:00,"{'id': 'engadget', 'name': 'Engadget'}",Samsung's updated mixed-reality headset goes on sale October 22nd,https://www.engadget.com/2018/10/22/samsung-odyssey-plus-mixed-reality-headset-release-date/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C1067%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttps%253A%252F%252Fmedia-mbst-pub-ue1.s3.amazonaws.com%252Fcreatr-uploaded-images%252F2018-10%252F98f19280-d601-11e8-b7ae-db9ec9fec0e8%26client%3Da1acac3e1b3290917d92%26signature%3Dbbfbc78bcb71b430687d683c5fa907b251d1d528&client=amp-blogside-v2&signature=13f4226783947039a76f88ab555667070b2f0c40,1
34,lucky,"In the interest of full disclosure, One Mile At A Time earns a referral bonus for purchases made through some of the below links. These are products and services we use ourselves, and are the best offers we know of. Check out our Advertising Policy for furthe… [+4492 chars]","Alaska Mileage Plan is one of my favorite programs to buy miles from, and they've just announced their latest promotion on purchased miles. Alaska is offering a bonus of up to 40% on purchased miles through October 28, 2018. This bonus applies as long as you …",2018-10-22 16:02:59,"{'id': None, 'name': 'Onemileatatime.com'}",Buy Alaska Miles With Up To 40% Bonus,https://onemileatatime.com/buy-alaska-miles/,https://onemileatatime.com/wp-content/uploads/2017/08/Japan-Airlines-First-Class.jpg,1
35,"info@hypebeast.com (HYPEBEAST), HYPEBEAST","Yashica ‘s return to the world of premium cameras was the “Unexpected” Y35 Digifilm camera, which was teased with the slogan of “expect the unexpected.” Unfortunately, that adage ultimately rings true for many of the 6,935 supporters who funded the device’s K… [+1877 chars]","Yashica's return to the world of premium cameras was the ""Unexpected"" Y35 Digifilm camera, which was teased with the slogan of ""expect the unexpected."" Unfortunately, that adage ultimately rings true for many of the 6,935 supporters who funded the device's Ki…",2018-10-22 16:25:12,"{'id': None, 'name': 'Hypebeast.com'}",Yashica’s Revived Y35 Camera Receives Flood of Negative Reviews,https://hypebeast.com/2018/10/yashica-y35-digifilm-camera-reviews-negative,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F10%2Fyashica-y35-digifilm-camera-reviews-negative-tw.jpg?w=960&cbr=1&q=90&fit=max,1
36,Ethan Steinberg,"Fifth freedom routes are a unique quirk of aviation that give North American travelers a chance to experience superior planes and service, often at a fraction of the cost. Have you ever booked a trip from the US to Europe, only to realize that your flight was… [+17252 chars]","Fifth freedom routes are a unique quirk of aviation that give North American travelers a chance to experience superior planes and service, often at a fraction of the cost. Have you ever booked a trip from the US to Europe, only to realize that your flight was…",2018-10-22 17:00:13,"{'id': None, 'name': 'Thepointsguy.com'}",10 Best North American Fifth Freedom Carriers to Book with Points,http://thepointsguy.com/guide/north-american-fifth-freedom-routes-points/,https://i0.wp.com/thepointsguy.com/wp-content/uploads/2016/01/Singapore777.jpg?fit=900%2C342px&ssl=1,1
37,,"Later this week, the long-awaited 34-mile sea bridge connecting mainland China to Hong Kong and Macau will finally open. In a ceremony on Tuesday that Chinese president Xi Jinping will reportedly attend, the bridge will officially open. Its accolades include … [+2669 chars]","Yahoo Finance China Will Open the World's Longest Sea Bridge This Week. A Lot of People Are Unhappy About It Yahoo Finance Later this week, the long-awaited 34-mile sea bridge connecting mainland China to Hong Kong and Macau will finally open. In a ceremony o…",2018-10-22 17:19:50,"{'id': None, 'name': 'Yahoo.com'}",China Will Open the World's Longest Sea Bridge This Week. A Lot of People Are Unhappy About It - Yahoo Finance,https://finance.yahoo.com/news/china-open-world-apos-longest-104315306.html,https://s.yimg.com/uu/api/res/1.2/h8q1k5P9xnvzBwtMaJVlbw--~B/aD0yMjUwO3c9MzM3NTtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/fortune_175/70de1763bc100bb696f74a9b568368b3,1
